category,crime_count,time
Assault (Non-domestic),256,Jan 2018
Assault (Non-domestic),262,Feb 2018
Assault (Non-domestic),293,Mar 2018
Assault (Non-domestic),294,Apr 2018
Assault (Non-domestic),403,May 2018
Assault (Non-domestic),379,Jun 2018
Assault (Non-domestic),331,Jul 2018
Assault (Non-domestic),351,Aug 2018
Assault (Non-domestic),299,Sep 2018
Assault (Non-domestic),341,Oct 2018
Assault (Non-domestic),313,Nov 2018
Assault (Non-domestic),327,Dec 2018
Assault (Non-domestic),346,Jan 2019
Assault (Non-domestic),251,Feb 2019
Assault (Non-domestic),320,Mar 2019
Assault (Non-domestic),311,Apr 2019
Assault (Non-domestic),332,May 2019
Assault (Non-domestic),350,Jun 2019
Assault (Non-domestic),382,Jul 2019
Assault (Non-domestic),333,Aug 2019
Assault (Non-domestic),330,Sep 2019
Assault (Non-domestic),365,Oct 2019
Assault (Non-domestic),317,Nov 2019
Assault (Non-domestic),301,Dec 2019
Assault (Non-domestic),279,Jan 2020
Assault (Non-domestic),333,Feb 2020
Assault (Non-domestic),248,Mar 2020
Assault (Non-domestic),222,Apr 2020
Assault (Non-domestic),229,May 2020
Assault (Non-domestic),336,Jun 2020
Assault (Non-domestic),392,Jul 2020
Assault (Non-domestic),376,Aug 2020
Assault (Non-domestic),352,Sep 2020
Assault (Non-domestic),291,Oct 2020
Assault (Non-domestic),252,Nov 2020
Assault (Non-domestic),237,Dec 2020
Assault (Non-domestic),279,Jan 2021
Assault (Non-domestic),244,Feb 2021
Assault (Non-domestic),292,Mar 2021
Assault (Non-domestic),294,Apr 2021
Assault (Non-domestic),312,May 2021
Assault (Non-domestic),396,Jun 2021
Assault (Non-domestic),391,Jul 2021
Assault (Non-domestic),400,Aug 2021
Assault (Non-domestic),394,Sep 2021
Assault (Non-domestic),376,Oct 2021
Assault (Non-domestic),397,Nov 2021
Assault (Non-domestic),303,Dec 2021
Assault (Non-domestic),327,Jan 2022
Assault (Non-domestic),314,Feb 2022
