category,crime_count,year,month,time
Theft FROM Vehicle,962,2018,1,2018-01-01
Theft FROM Vehicle,645,2018,2,2018-02-01
Theft FROM Vehicle,818,2018,3,2018-03-01
Theft FROM Vehicle,870,2018,4,2018-04-01
Theft FROM Vehicle,1063,2018,5,2018-05-01
Theft FROM Vehicle,1036,2018,6,2018-06-01
Theft FROM Vehicle,1321,2018,7,2018-07-01
Theft FROM Vehicle,1400,2018,8,2018-08-01
Theft FROM Vehicle,1292,2018,9,2018-09-01
Theft FROM Vehicle,1269,2018,10,2018-10-01
Theft FROM Vehicle,1028,2018,11,2018-11-01
Theft FROM Vehicle,955,2018,12,2018-12-01
Theft FROM Vehicle,1101,2019,1,2019-01-01
Theft FROM Vehicle,714,2019,2,2019-02-01
Theft FROM Vehicle,919,2019,3,2019-03-01
Theft FROM Vehicle,1097,2019,4,2019-04-01
Theft FROM Vehicle,1268,2019,5,2019-05-01
Theft FROM Vehicle,1344,2019,6,2019-06-01
Theft FROM Vehicle,1523,2019,7,2019-07-01
Theft FROM Vehicle,1619,2019,8,2019-08-01
Theft FROM Vehicle,1512,2019,9,2019-09-01
Theft FROM Vehicle,1313,2019,10,2019-10-01
Theft FROM Vehicle,1253,2019,11,2019-11-01
Theft FROM Vehicle,1107,2019,12,2019-12-01
Theft FROM Vehicle,1173,2020,1,2020-01-01
Theft FROM Vehicle,1210,2020,2,2020-02-01
Theft FROM Vehicle,1082,2020,3,2020-03-01
Theft FROM Vehicle,1068,2020,4,2020-04-01
Theft FROM Vehicle,796,2020,5,2020-05-01
Theft FROM Vehicle,824,2020,6,2020-06-01
Theft FROM Vehicle,1078,2020,7,2020-07-01
Theft FROM Vehicle,1189,2020,8,2020-08-01
Theft FROM Vehicle,1230,2020,9,2020-09-01
Theft FROM Vehicle,1230,2020,10,2020-10-01
Theft FROM Vehicle,889,2020,11,2020-11-01
Theft FROM Vehicle,681,2020,12,2020-12-01
Theft FROM Vehicle,822,2021,1,2021-01-01
Theft FROM Vehicle,617,2021,2,2021-02-01
Theft FROM Vehicle,852,2021,3,2021-03-01
Theft FROM Vehicle,828,2021,4,2021-04-01
Theft FROM Vehicle,847,2021,5,2021-05-01
Theft FROM Vehicle,789,2021,6,2021-06-01
Theft FROM Vehicle,908,2021,7,2021-07-01
Theft FROM Vehicle,968,2021,8,2021-08-01
Theft FROM Vehicle,918,2021,9,2021-09-01
Theft FROM Vehicle,948,2021,10,2021-10-01
Theft FROM Vehicle,945,2021,11,2021-11-01
Theft FROM Vehicle,788,2021,12,2021-12-01
Theft FROM Vehicle,1060,2022,1,2022-01-01
Theft FROM Vehicle,902,2022,2,2022-02-01
Theft FROM Vehicle,1199,2022,3,2022-03-01
Theft FROM Vehicle,1074,2022,4,2022-04-01
Theft FROM Vehicle,1153,2022,5,2022-05-01
Theft FROM Vehicle,1219,2022,6,2022-06-01
